PAIR	R1	R2	WORDCLASS
ἀλήθεια/πίστις	related	distantly_related	n
ἀλήθεια/δόξα	related	distantly_related	n
ἀλήθεια/πρᾶγμα	unrelated	distantly_related	n
ἀλήθεια/διάνοια	distantly_related	distantly_related	n
ἀλήθεια/δόγμα	related	distantly_related	n
ἀλήθεια/λόγος	distantly_related	distantly_related	n
ἀλήθεια/σοφία	distantly_related	related	n
ἀλήθεια/θεός	unrelated	same_domain	n
ἀλήθεια/ἀρετή	distantly_related	distantly_related	n
ἀλήθεια/δικαιοσύνη	distantly_related	distantly_related	n
ἀλήθεια/εὐσέβεια	distantly_related	distantly_related	n
ἀλήθεια/γνῶσις	related	distantly_related	n
ἀλήθεια/φιλοσοφία	same_domain	distantly_related	n
ἀλήθεια/γνώμη	related	distantly_related	n
πέρας/γραμμή	related	related	n
πέρας/μῦς	unrelated	unrelated	n
πέρας/ὀστέον	unrelated	unrelated	n
πέρας/κύκλος	same_domain	unrelated	n
πέρας/μέρος	related	same_domain	n
πέρας/μῆκος	same_domain	same_domain	n
πέρας/ἐπιφάνεια	related	unrelated	n
πέρας/διάστημα	same_domain	same_domain	n
πέρας/πλευρά	related	distantly_related	n
πέρας/διάρθρωσις	unrelated	unrelated	n
πέρας/μόριον	related	same_domain	n
πέρας/φλέψ	unrelated	unrelated	n
πέρας/ἀπόφυσις	distantly_related	same_domain	n
πέρας/κίνησις	unrelated	same_domain	n
πέρας/ἀρχή	related	related	n
πέρας/σημεῖον	distantly_related	related	n
πέρας/μέγεθος	same_domain	related	n
πέρας/τέλος	synonym	synonym	n
πέρας/ὅρος	synonym	synonym	n
ὄνομα/ῥῆμα	synonym	synonym	n
ὄνομα/λέξις	synonym	synonym	n
ὄνομα/προσηγορία	synonym	distantly_related	n
ὄνομα/λόγος	synonym	synonym	n
ὄνομα/φωνή	related	related	n
ὄνομα/ποιητής	same_domain	same_domain	n
ὄνομα/συλλαβή	related	distantly_related	n
ὄνομα/πτῶσις	same_domain	same_domain	n
ὄνομα/γένος	same_domain	same_domain	n
ὄνομα/γραφή	same_domain	distantly_related	n
ὄνομα/πρόσωπον	same_domain	same_domain	n
ὄνομα/γράμμα	related	distantly_related	n
ὄνομα/διαφορά	unrelated	unrelated	n
ὄνομα/αἰτία	distantly_related	unrelated	n
ὄνομα/ὅρος	distantly_related	unrelated	n
ὄνομα/εἶδος	same_domain	unrelated	n
ὄνομα/πρᾶγμα	related	same_domain	n
πόλις/χώρα	related	related	n
πόλις/φρούριον	related	distantly_related	n
πόλις/πατρίς	related	distantly_related	n
πόλις/τεῖχος	same_domain	same_domain	n
πόλις/βάρβαρος	same_domain	same_domain	n
πόλις/στρατόπεδον	related	distantly_related	n
πόλις/βασιλεύς	same_domain	same_domain	n
πόλις/στρατιώτης	unrelated	same_domain	n
πόλις/πολίτης	same_domain	same_domain	n
πόλις/στρατηγός	unrelated	same_domain	n
πόλις/ἄστυ	synonym	synonym	n
πόλις/νῆσος	distantly_related	distantly_related	n
πόλις/ἔθνος	related	distantly_related	n
πόλις/οἰκία	distantly_related	distantly_related	n
πόλις/χωρίον	related	related	n
πόλις/ἐκκλησία	same_domain	distantly_related	n
πόλις/ἀκρόπολις	related	related	n
πόλις/οἶκος	distantly_related	distantly_related	n
πόλις/κώμη	related	related	n
ἀπορία/αἰτία	same_domain	same_domain	n
ἀπορία/πρᾶγμα	synonym	same_domain	n
ἀπορία/λύσις	related	same_domain	n
ἀπορία/τρόπος	distantly_related	same_domain	n
ἀπορία/ζήτησις	same_domain	distantly_related	n
ἀπορία/λόγος	unrelated	same_domain	n
ἀπορία/φιλόσοφος	same_domain	same_domain	n
